REPLICA,HARDWARE,CPU,MEM,ARCH,BATCH,NUM_BATCH_THREADS,MAX_ENQUEUED_BATCHES,INTRA_OP_PARALLELISM,INTER_OP_PARALLELISM,SLA,p99_latency,capacity,saturation_tp,timestamp
1,cpu,7,1.5G,50,1,7,1000000,1,7,1000,638.99,67,70,2023-02-21T10:04:39.605452
1,cpu,7,1.5G,50,1,7,1000000,1,7,1500,1212.5,69,70,2023-02-21T10:05:06.860900
1,cpu,7,2G,101,1,7,1000000,1,7,500,386.08,31,42,2023-02-21T10:07:47.477242
1,cpu,7,2G,101,1,7,1000000,1,7,750,687.25,36,42,2023-02-21T10:08:31.444106
1,cpu,7,2G,101,1,7,1000000,1,7,1000,687.25,36,42,2023-02-21T10:08:41.455075
1,cpu,7,2G,101,1,7,1000000,1,7,1500,687.25,36,42,2023-02-21T10:08:51.466152
1,cpu,7,2.25G,152,1,7,1000000,1,7,500,391.52,21,33,2023-02-21T10:11:44.971979
1,cpu,7,2.25G,152,1,7,1000000,1,7,750,613.8,25,33,2023-02-21T10:12:45.537409
1,cpu,7,2.25G,152,1,7,1000000,1,7,1000,613.8,25,33,2023-02-21T10:12:55.548398
1,cpu,7,2.25G,152,1,7,1000000,1,7,1500,1243.66,32,33,2023-02-21T10:13:56.775815
1,cpu,8,1G,18,1,8,1000000,1,8,500,371.13,178,168,2023-02-21T10:17:00.115328
1,cpu,8,1G,18,1,8,1000000,1,8,750,685.52,190,168,2023-02-21T10:18:25.404795
1,cpu,8,1G,18,1,8,1000000,1,8,1000,685.52,190,168,2023-02-21T10:18:35.415762
1,cpu,8,1G,18,1,8,1000000,1,8,1500,1083.31,200,168,2023-02-21T10:19:43.130849
1,cpu,8,1.25G,34,1,8,1000000,1,8,500,210.91,89,102,2023-02-21T10:22:32.247819
1,cpu,8,1.25G,34,1,8,1000000,1,8,750,652.21,94,102,2023-02-21T10:23:34.869991
1,cpu,8,1.25G,34,1,8,1000000,1,8,1000,652.21,94,102,2023-02-21T10:23:44.881458
1,cpu,8,1.25G,34,1,8,1000000,1,8,1500,1231.67,110,102,2023-02-21T10:25:07.372881
1,cpu,8,1.5G,50,1,8,1000000,1,8,500,384.83,77,79,2023-02-21T10:28:02.803890
1,cpu,8,1.5G,50,1,8,1000000,1,8,750,583.9,78,79,2023-02-21T10:28:12.815576
1,cpu,8,1.5G,50,1,8,1000000,1,8,1000,583.9,78,79,2023-02-21T10:28:22.827863
1,cpu,8,1.5G,50,1,8,1000000,1,8,1500,583.9,78,79,2023-02-21T10:28:32.839741
1,cpu,8,2G,101,1,8,1000000,1,8,500,366.36,36,46,2023-02-21T10:31:32.992974
1,cpu,8,2G,101,1,8,1000000,1,8,750,388.68,39,46,2023-02-21T10:32:16.773065
1,cpu,8,2G,101,1,8,1000000,1,8,1000,388.68,39,46,2023-02-21T10:32:26.779546
1,cpu,8,2G,101,1,8,1000000,1,8,1500,1042.52,44,46,2023-02-21T10:33:28.019042
1,cpu,8,2.25G,152,1,8,1000000,1,8,500,391.72,22,33,2023-02-21T10:36:29.330533
1,cpu,8,2.25G,152,1,8,1000000,1,8,750,690.92,27,33,2023-02-21T10:37:29.805934
1,cpu,8,2.25G,152,1,8,1000000,1,8,1000,690.92,27,33,2023-02-21T10:37:39.816948
1,cpu,8,2.25G,152,1,8,1000000,1,8,1500,1257.82,32,33,2023-02-21T10:38:41.028164
1,cpu,9,1G,18,1,9,1000000,1,9,500,410.78,215,193,2023-02-21T10:41:48.253510
1,cpu,9,1G,18,1,9,1000000,1,9,750,692.06,219,193,2023-02-21T10:42:37.144133
1,cpu,9,1G,18,1,9,1000000,1,9,1000,692.06,219,193,2023-02-21T10:42:47.155372
