REPLICA,HARDWARE,CPU,MEM,ARCH,BATCH,NUM_BATCH_THREADS,MAX_ENQUEUED_BATCHES,INTRA_OP_PARALLELISM,INTER_OP_PARALLELISM,SLA,p99_latency,capacity,saturation_tp,timestamp
1,cpu,18,36G,18,1,18,1000000,1,18,750,551.59,466.0,355.5,2023-01-11T12:25:49.707295
1,cpu,18,36G,34,1,18,1000000,1,18,750,700.1,243.0,203.0,2023-01-11T12:31:16.897048
1,cpu,18,36G,50,1,18,1000000,1,18,750,707.67,180.0,155.83,2023-01-11T12:36:12.055457
1,cpu,18,36G,101,1,18,1000000,1,18,750,381.69,92,91.64,2023-01-11T12:40:42.842046
1,cpu,18,36G,152,1,18,1000000,1,18,750,516.1,63,66.07,2023-01-11T12:45:02.326412
1,cpu,19,38G,18,1,19,1000000,1,19,750,393.26,498.0,408.0,2023-01-11T12:51:46.843095
1,cpu,19,38G,34,1,19,1000000,1,19,750,623.63,253.0,211.4,2023-01-11T12:57:16.829586
1,cpu,19,38G,50,1,19,1000000,1,19,750,629.56,191.0,165.33,2023-01-11T13:02:10.358140
1,cpu,19,38G,101,1,19,1000000,1,19,750,688.86,100,95.18,2023-01-11T13:06:42.256787
1,cpu,19,38G,152,1,19,1000000,1,19,750,667.98,68,69.69,2023-01-11T13:11:03.641688
1,cpu,20,40G,18,1,20,1000000,1,20,750,697.02,541.0,418.5,2023-01-11T13:17:32.513163
1,cpu,20,40G,34,1,20,1000000,1,20,750,677.13,269.0,221.13,2023-01-11T13:23:26.151886
1,cpu,20,40G,50,1,20,1000000,1,20,750,392.67,201.0,176.17,2023-01-11T13:28:38.613620
1,cpu,20,40G,101,1,20,1000000,1,20,750,703.39,103,98.55,2023-01-11T13:32:56.675845
1,cpu,20,40G,152,1,20,1000000,1,20,750,674.24,69,70.88,2023-01-11T13:38:11.899313
